Address,Area,Price_per_ft2,Rooms,Area-ft2,Rent_Price,Lat,Long
West 105th Street,Upper West Side,2.94,5,3400,10000,40.7997711,-73.9662127
East 97th Street,Upper East Side,3.57,3,2100,7500,40.7885847,-73.9552767
West 105th Street,Upper West Side,1.89,4,2800,5300,40.7997711,-73.9662127
CARMINE ST.,West Village,3.03,2,1650,5000,40.730523,-74.0018726
171 W 23RD ST. ,Chelsea,3.45,2,1450,5000,40.7441181,-73.9952986
76 CARMINE ST. ,West Village,3.56,2,1350,4800,40.72963089,-74.00443968
E 91ST,Upper East Side,3.21,2,1450,4650,40.7810592,-73.949421
333 east 81st street ,Upper East Side,1.85,3,2430,4500,40.77432445,-73.95283554
EAST 88TH STREET,Upper East Side,3.21,2,1400,4500,40.7791759,-73.9507943
East 77th Street,Upper East Side,5,1,900,4500,40.7729692,-73.9582529
W 23RD ST.,Chelsea,2.21,2,2040,4500,40.7423235,-73.9914334
EAST 30TH STREET,Murray Hill,2.09,2,2150,4500,40.7416599,-73.9762612
East 30th street,Murray Hill,1.96,3,2300,4500,40.7416599,-73.9762612
EAST 89TH STREET,Upper East Side,2.07,3,2100,4350,40.7814292,-73.9541758
east 30th street,Murray Hill,3.25,2,1340,4350,40.7416599,-73.9762612
W 23RD ST.,Chelsea,3.04,2,1400,4250,40.7423235,-73.9914334
171 W 23RD ST.,Rental in Lenox Hill,5.54,2,1579,8750,40.7441181,-73.9952986
211 East 70th Street,Chelsea,4.57,1,930,4250,40.7682243,-73.9606386
135 W 24TH ST. ,Chelsea,4.83,1,870,4200,40.744392,-73.993722
East 77th Street,Upper East Side,4.44,1,900,4000,40.7729692,-73.9582529
East 77th Street,Upper East Side,5.33,1,750,4000,40.7729692,-73.9582529
East 77th Street,Upper East Side,5,1,800,4000,40.7729692,-73.9582529
205 East 92nd Street,Rental in Yorkville,7.27,3,2200,15984,40.7827274,-73.95040146
136 West Houston Street,Rental in Greenwich Village,7.6,3,2100,15950,40.72804555,-74.00147563
110 Greenwich Street,Rental in Financial District,6,6,2000,12000,40.7086724,-74.0134276
200 East 82nd Street,Rental in Yorkville,6.69,3,1647,11016,40.7759672,-73.9556097
393 West End Avenue,Rental in Riverside Dr./West End Ave.,7.15,4,2230,15950,40.7842778,-73.9814338
201 East 86th Street,Rental in Yorkville,5.87,4,2300,13511,40.778834,-73.953789
476 West 142nd Street,Rental in Hamilton Heights,2.73,2,3200,8750,40.8230404,-73.94884122
1214 Fifth Avenue,No fee rental in East Harlem,4.78,3,1450,6930,40.7911766,-73.95231615
50 Murray Street,No fee rental in Tribeca,6.48,2,1038,6724,40.71405143,-74.00960814
20 Warren Street,Rental in Tribeca,4.78,4,2500,11950,40.7143027,-74.00768025
15 West 55th Street,Rental in Midtown West,5,3,1500,7500,40.76222965,-73.97568078
537 West 27th Street,Rental in Chelsea,5.72,2,1267,7250,40.7511512,-74.00407045
125 West 31st Street,Rental in Midtown West,5.61,2,1250,7011,40.74873265,-73.99011217
210 East 68th Street,Rental in Lenox Hill,5.28,2,1308,6900,40.7669023,-73.9620628
140 Riverside Boulevard,No fee rental in Riverside Dr./West End Ave.,5.46,2,1230,6710,40.77701435,-73.98860936
315 Central Park West,Rental in Central Park West,5.56,3,1800,10000,40.7887449,-73.967049
305 East 63rd Street,Rental in Lenox Hill,6.47,3,1392,9000,40.7629089,-73.9617727
303 East 83rd Street,No fee rental in Yorkville,6.79,4,1759,11950,40.7759413,-73.9527735
1113 York Avenue,Rental in Lenox Hill,6.29,3,1750,11000,40.75962215,-73.95914246
393 West End Avenue,Rental in Riverside Dr./West End Ave.,6.16,3,1622,9995,40.7842778,-73.9814338
51 Murray Street,Rental in Tribeca,5.63,2,1600,9000,40.7142983,-74.0094222
162 East 63rd Street,Rental in Lenox Hill,11.74,2,852,10000,40.76419855,-73.96558997
105 West 29th Street,No fee rental in Chelsea,8.16,2,1113,9080,40.74683492,-73.99026141
9 East 62nd Street,Rental in Park/Fifth Ave. to 79th St.,8.95,3,950,8500,40.76598295,-73.97068769
221 East 60th Street,Rental in Lenox Hill,5,5,1600,8000,40.76190595,-73.96502554
317-319 Greenwich Street,Rental in Tribeca,3.63,2,2000,7250,40.71710575,-74.0106765
1 Morningside Drive,No fee rental in Morningside Heights,5.2,3,1347,7010,40.8023168,-73.9617116
93 Grand Street,Rental in SoHo,3.45,1,2000,6900,40.721411,-74.0020622
50 West 22nd Street,Rental in Chelsea,4.29,3,2000,8585,40.7417874,-73.9925761
146 Beekman Street,Rental in Financial District,5.02,3,1600,8027,40.7070752,-74.0024625
1214 Fifth Avenue,No fee rental in East Harlem,5.2,2,1500,7795,40.7911766,-73.95231615
31 West 10th Street,Rental in Greenwich Village,6.75,2,2000,13500,40.73428155,-73.99694038
50 Murray Street,No fee rental in Tribeca,4.65,3,1566,7286,40.71405143,-74.00960814
201 East 86th Street,Rental in Yorkville,6.7,3,1050,7031,40.778834,-73.953789
19 Dutch Street,Rental in Financial District,6.48,2,1070,6935,40.7098139,-74.00737685
100 West 26th Street,No fee rental in Chelsea,5.55,2,1214,6733,40.7447407,-73.9916956
201 East 86th Street,Rental in Yorkville,6.55,2,1005,6578,40.778834,-73.953789
95 Wall Street,Rental in Financial District,4.88,2,1320,6435,40.7047056,-74.00756981
160 West 16th Street,Rental in Chelsea,4.85,2,1300,6300,40.7396411,-73.9983824
10 East 29th Street,Rental in Flatiron/Union Square,5.77,2,1350,7783,40.74476765,-73.98612352
305 East 63rd Street,Rental in Lenox Hill,5.82,2,1289,7500,40.7629089,-73.9617727
260 West 26th Street,Rental in Chelsea,5.41,2,1340,7250,40.74669511,-73.99611753
125 West 31st Street,Rental in Midtown West,5.39,2,1300,7011,40.74873265,-73.99011217
50 East 28th Street,No fee rental in Flatiron/Union Square,6.47,2,1067,6905,40.74367854,-73.98513765
393 West End Avenue,Rental in Riverside Dr./West End Ave.,8.18,3,1622,13270,40.7842778,-73.9814338
92 Bank Street,Rental in West Village,7.46,2,1340,10000,40.73635545,-74.00631819
50 Murray Street,No fee rental in Tribeca,5.58,3,1665,9286,40.71405143,-74.00960814
21 West Street,No fee rental in Financial District,3.74,3,2300,8595,40.70638365,-74.01552878
605 West 42nd Street,Rental in Midtown West,4.46,2,1800,8030,40.76155005,-73.99863447
"105 Duane Street, NA",No fee rental in Tribeca,0.35,3,22200,7795,40.71588715,-74.0058734
305 East 86th Street,Rental in Yorkville,5.71,3,1322,7551,40.7781479,-73.9512383
240 East 27th Street,No fee rental in Murray Hill,4.67,3,1439,6715,40.7404464,-73.9795127
240 Central Park South,Rental in Midtown West,4.33,2,1500,6500,40.7676287,-73.9812527
265 East 66th Street,Rental in Lenox Hill,5.35,1,1200,6425,40.7652874,-73.9612751
175 West 60th Street,No fee rental in Lincoln Center,6.99,1,900,6295,40.77079929,-73.98632724
60 Fulton Street,Rental in Financial District,3.09,2,2000,6185,40.70851536,-74.0050444
1 Union Square South,No fee rental in Flatiron/Union Square,6.75,2,1400,9455,40.7359091,-73.9901626
150 East 57th Street,Rental in Midtown East,4.58,2,1300,5950,40.7603587,-73.96858884
180 West 20th Street,No fee rental in Chelsea,5.48,2,1200,6570,40.7419763,-73.9968226
160 East 48th Street,Rental in Midtown East,2.57,3,2500,6431,40.7546432,-73.9721078
237 East 34th Street,Rental in Murray Hill,4.66,2,1350,6295,40.74525955,-73.97630318
501 East 74th Street,Rental in Lenox Hill,4.43,2,1400,6195,40.7681218,-73.9524144
