Borough,Neighborhood,Latitude,Longitude,Cluster Labels
Manhattan,Marble Hill,40.87655078,-73.91065966,2
Manhattan,Chinatown,40.71561842,-73.99427936,2
Manhattan,Washington Heights,40.85190253,-73.93690028,4
Manhattan,Inwood,40.86768396,-73.92121042,3
Manhattan,Hamilton Heights,40.82360428,-73.94968792,0
Manhattan,Manhattanville,40.81693443,-73.95738539,3
Manhattan,Central Harlem,40.81597607,-73.94321113,2
Manhattan,East Harlem,40.79224947,-73.94418223,4
Manhattan,Upper East Side,40.77563857,-73.96050763,0
Manhattan,Yorkville,40.77592985,-73.94711784,2
Manhattan,Lenox Hill,40.76811266,-73.95885969,3
Manhattan,Roosevelt Island,40.76215961,-73.94916769,4
Manhattan,Upper West Side,40.787658,-73.97705924,3
Manhattan,Lincoln Square,40.77352889,-73.98533777,4
Manhattan,Clinton,40.75910089,-73.99611936,2
Manhattan,Midtown,40.7546911,-73.98166883,4
Manhattan,Murray Hill,40.74830308,-73.97833208,3
Manhattan,Chelsea,40.74403471,-74.00311633,3
Manhattan,Greenwich Village,40.72693289,-73.99991403,3
Manhattan,East Village,40.72784678,-73.98222617,4
Manhattan,Lower East Side,40.71780675,-73.98089032,4
Manhattan,Tribeca,40.72152197,-74.01068329,4
Manhattan,Little Italy,40.71932379,-73.99730467,4
Manhattan,Soho,40.72218384,-74.00065667,2
Manhattan,West Village,40.73443394,-74.00617998,1
Manhattan,Manhattan Valley,40.79730704,-73.96428618,4
Manhattan,Morningside Heights,40.80799974,-73.96389628,2
Manhattan,Gramercy,40.73720983,-73.98137595,3
Manhattan,Battery Park City,40.71193198,-74.01686931,4
Manhattan,Financial District,40.70710711,-74.01066545,3
Manhattan,Carnegie Hill,40.78268257,-73.95325647,4
Manhattan,Noho,40.72325902,-73.98843368,3
Manhattan,Civic Center,40.71522892,-74.0054153,3
Manhattan,Midtown South,40.74850966,-73.98871313,4
Manhattan,Sutton Place,40.76028033,-73.96355614,2
Manhattan,Turtle Bay,40.75204237,-73.96770825,3
Manhattan,Tudor City,40.74691741,-73.97121929,3
Manhattan,Stuyvesant Town,40.73099955,-73.9740517,4
Manhattan,Flatiron,40.73967305,-73.99094711,3
Manhattan,Hudson Yards,40.75665808,-74.00011136,2
